dataset,model,prompt,label,kappa,f1
hansard,Mistral-7B-Instruct-v0.3,3,conv,0.05446152700740792,0.28710952639330284
hansard_bill,Mistral-7B-Instruct-v0.3,3,conv,0.09398939304655263,0.3107615480649188
dagstuhl,Llama-3.3-70B-Instruct,2,conv,0.2943228671106882,0.4247591654111309
defabel,Llama-3.3-70B-Instruct,2,conv,0.1808443604284814,0.3534054568959651
deuparl,Llama-3.3-70B-Instruct,2,conv,0.1990141712877388,0.3761964211402414
hansard,Llama-3.3-70B-Instruct,2,conv,0.21691464369616298,0.38557407695902784
hansard_bill,Llama-3.3-70B-Instruct,2,conv,0.22928709055876684,0.39041755346103174
dagstuhl,Llama-3.2-1B-Instruct,2,conv,-0.08993766696349059,0.2131769234572973
defabel,Llama-3.2-1B-Instruct,2,conv,-0.023548532106919318,0.24104490964394346
deuparl,Llama-3.2-1B-Instruct,2,conv,0.0012484394506867558,0.30596618093877864
hansard,Llama-3.2-1B-Instruct,2,conv,0.006866586491833693,0.2844915678355699
hansard_bill,Llama-3.2-1B-Instruct,2,conv,0.007997539218702054,0.2957735434799655
dagstuhl,Mistral-7B-Instruct-v0.3,1,conv,-0.0687724910035985,0.24435220468154598
defabel,Mistral-7B-Instruct-v0.3,1,conv,0.04391328515842141,0.2685016304648206
deuparl,Mistral-7B-Instruct-v0.3,1,conv,0.039355438487759575,0.2955284985741839
hansard,Mistral-7B-Instruct-v0.3,1,conv,0.05446152700740792,0.28868563160478516
hansard_bill,Mistral-7B-Instruct-v0.3,1,conv,0.08169262415515721,0.30324307500778086
dagstuhl,Llama-3.2-1B-Instruct,3,conv,0.026903262736118982,0.29164386060937786
defabel,Llama-3.2-1B-Instruct,3,conv,-0.024533035963200334,0.1922787508108609
deuparl,Llama-3.2-1B-Instruct,3,conv,-0.014934029288096395,0.24114607161571652
hansard,Llama-3.2-1B-Instruct,3,conv,0.024390243902439157,0.31649189023039037
hansard_bill,Llama-3.2-1B-Instruct,3,conv,-0.06530801296896716,0.24957432967753013
dagstuhl,Llama-3.3-70B-Instruct,1,conv,0.3647058823529412,0.458592132505176
defabel,Llama-3.3-70B-Instruct,1,conv,0.24757188375753392,0.37906660423216715
deuparl,Llama-3.3-70B-Instruct,1,conv,0.17412781722753934,0.36442894507410645
hansard,Llama-3.3-70B-Instruct,1,conv,0.20071047957371224,0.3710720651897123
hansard_bill,Llama-3.3-70B-Instruct,1,conv,0.286563614744352,0.42107396149949344
dagstuhl,Qwen2.5-7B-Instruct,1,conv,0.08110267678785466,0.3230406112368299
defabel,Qwen2.5-7B-Instruct,1,conv,0.019942048747230268,0.29099214416585095
deuparl,Qwen2.5-7B-Instruct,1,conv,-0.010101010101009944,0.26763194226909376
hansard,Qwen2.5-7B-Instruct,1,conv,-0.007810531620055405,0.2445261867227185
hansard_bill,Qwen2.5-7B-Instruct,1,conv,-0.02744752678702489,0.243099867377324
dagstuhl,Qwen2.5-7B-Instruct,3,conv,0.10317492092725322,0.3381739063268736
defabel,Qwen2.5-7B-Instruct,3,conv,0.002897562638486506,0.2890136237562622
deuparl,Qwen2.5-7B-Instruct,3,conv,-0.010101010101009944,0.26763194226909376
hansard,Qwen2.5-7B-Instruct,3,conv,-0.010319694017464132,0.24471087798176594
hansard_bill,Qwen2.5-7B-Instruct,3,conv,-0.02115780193946515,0.24607531901649546
dagstuhl,Qwen2.5-7B-Instruct,2,conv,0.1531855402436587,0.36397185064224163
defabel,Qwen2.5-7B-Instruct,2,conv,0.12594689086822608,0.34767676767676764
deuparl,Qwen2.5-7B-Instruct,2,conv,0.03551745254133487,0.2905364677516577
hansard,Qwen2.5-7B-Instruct,2,conv,-0.0014409221902016434,0.24791197799449863
hansard_bill,Qwen2.5-7B-Instruct,2,conv,0.07678780773739757,0.2995428344265554
dagstuhl,Llama-3.2-3B-Instruct,1,conv,-0.09109070651965112,0.22308488612836438
defabel,Llama-3.2-3B-Instruct,1,conv,-0.013970256872465114,0.25428048235065775
deuparl,Llama-3.2-3B-Instruct,1,conv,0.012726571538758225,0.2996755036264021
hansard,Llama-3.2-3B-Instruct,1,conv,0.00986413549227616,0.2641578038360149
hansard_bill,Llama-3.2-3B-Instruct,1,conv,0.050772626931567366,0.29247077048265474
dagstuhl,Llama-3.2-3B-Instruct,2,conv,0.12575323110169145,0.33665223665223665
defabel,Llama-3.2-3B-Instruct,2,conv,-0.03724658180103724,0.24194357080997309
deuparl,Llama-3.2-3B-Instruct,2,conv,0.061941986429110085,0.31257287570651626
hansard,Llama-3.2-3B-Instruct,2,conv,0.12446670376553515,0.32844154181073115
hansard_bill,Llama-3.2-3B-Instruct,2,conv,0.07270029673590517,0.3010247867131102
dagstuhl,Llama-3.2-3B-Instruct,3,conv,0.1250567820477877,0.34686402839070757
defabel,Llama-3.2-3B-Instruct,3,conv,-0.025999766818234793,0.24518038010697626
deuparl,Llama-3.2-3B-Instruct,3,conv,0.061967994552264205,0.31652233244108546
hansard,Llama-3.2-3B-Instruct,3,conv,0.050213517891326664,0.28883815322171486
hansard_bill,Llama-3.2-3B-Instruct,3,conv,0.0648656672109248,0.3062709425429129
dagstuhl,gpt-4o-mini,3,conv,0.3372578067131885,0.45850810513783324
defabel,gpt-4o-mini,3,conv,0.19245253717436017,0.3551110213062123
deuparl,gpt-4o-mini,3,conv,0.13819636811326552,0.3453968253968254
hansard,gpt-4o-mini,3,conv,0.24222917049843673,0.39251700680272106
hansard_bill,gpt-4o-mini,3,conv,0.2439964423361991,0.39760599760599763
dagstuhl,Mixtral-8x7B-Instruct-v0.1,3,conv,0.24803286949106562,0.39833299724406807
defabel,Mixtral-8x7B-Instruct-v0.1,3,conv,0.13147410358565736,0.33431783318451364
deuparl,Mixtral-8x7B-Instruct-v0.1,3,conv,0.17692307692307696,0.3648155841757836
hansard,Mixtral-8x7B-Instruct-v0.1,3,conv,0.14453618983857774,0.33619467429690925
hansard_bill,Mixtral-8x7B-Instruct-v0.1,3,conv,0.16417910447761197,0.36466992992029096
